Designator,Mid X,Mid Y,Rotation,Layer
SW47,75.85625,-138.585,0.0,top
SW48,102.05,-138.585,0.0,top
SW49,121.1,-138.585,0.0,top
SW5,144.9125,-81.435,0.0,top
SW50,140.15,-138.585,0.0,top
SW51,159.2,-138.585,0.0,top
SW52,178.25,-138.585,0.0,top
SW53,197.3,-138.585,0.0,top
SW54,216.35,-138.585,0.0,top
SW55,235.4,-138.585,0.0,top
SW56,254.45,-138.585,0.0,top
SW57,273.5,-138.585,0.0,top
SW58,292.55,-138.585,0.0,top
SW59,323.50625,-138.585,0.0,top
SW6,163.9625,-81.435,0.0,top
SW60,354.4625,-138.585,0.0,top
SW61,80.61875,-157.635,0.0,top
SW62,111.575,-157.635,0.0,top
SW63,130.625,-157.635,0.0,top
SW64,149.675,-157.635,0.0,top
SW65,168.725,-157.635,0.0,top
SW66,187.775,-157.635,0.0,top
SW67,206.825,-157.635,0.0,top
SW68,225.875,-157.635,0.0,top
SW69,244.925,-157.635,0.0,top
SW7,183.0125,-81.435,0.0,top
SW70,263.975,-157.635,0.0,top
SW71,283.025,-157.635,0.0,top
SW72,309.21875,-157.635,0.0,top
SW73,335.4125,-157.635,0.0,top
SW74,354.4625,-157.635,0.0,top
SW75,71.09375,-176.685,0.0,top
SW76,94.90625,-176.685,0.0,top
SW77,118.71875,-176.685,0.0,top
SW78,190.15625,-176.685,0.0,top
SW79,259.2125,-176.685,0.0,top
SW8,202.0625,-81.435,0.0,top
SW80,278.2625,-176.685,0.0,top
SW81,297.3125,-176.685,0.0,top
SW82,316.3625,-176.685,0.0,top
SW83,335.4125,-176.685,0.0,top
SW84,354.4625,-176.685,0.0,top
SW85,180.65,-58.0875,180.0,top
SW86,174.1625,-67.75,180.0,top
SW87,353.0,-60.2,0.0,top
SW88,149.9,-47.0,180.0,top
SW89,353.0,-68.75,0.0,top
SW9,221.1125,-81.435,0.0,top
U1,207.55,-59.5825,0.0,top
U2,142.0,-61.439,180.0,top
U3,151.8,-58.5015,270.0,top
U4,159.975,-46.8875,0.0,top
